	App Section	Correction/Suggestion	Developer Notes/Response	Completed
1	General Navigation	On tabs that open inside a section (ie Settings in Home, or Map Type in Maps) it would be beneficial to have a line at the top of the tab that opens to indicate that you can swipe it back down (like it is in the Plan Your Trip in the Account tab). Many UIs are using this, and though I think it is intuitive without it, it is another visual cue for how someone can/should interact with the app		FALSE
2	Home	Is it possible for us to change out the day/night images? Our designer has spent some time creating a couple mock ups		FALSE
3	Home	Just wanted to say that I love that I can pop the calendar out by tapping on the day to select another days events		FALSE
4	Home	Is there a way to indicate that events are part of the same overall activity? I'm primarily thinking Shakespeare, but it could come into play with Summer Games as well. I like that it shows me all of the festival events, but could they be color coded to indicate they're all part of Shakespeare? (this is me thinking out loud) 		FALSE
5	Home	Again, just wanted to say that I love that I can tap an event and it goes to more info		FALSE
6	Home	Settings: we'll have to talk about it, but is it possible to add other options--Food Near the Resort for example--maybe options that are similar to what the activities they are interested in? Additionally, remove for seasonality (date range for automatic removal)		FALSE
7	Home	Possible to be able to tap the weather icons for a full/extended forecast? Weather warnings, perhaps?	NOAA, Extreme Weather Icon	FALSE
8	Discover	I think we need to change the header options to be more inline with what is on our website: Events, Food & Drink, Lodging, Experiences, Things to Do. Where this gets tricky is under the Things to Do as we have Brian Head, Cedar Breaks, Outdoor Activities, Arts and Culture, Shakespeare, National Parks, etc. Team, what are our most important categories?  HOLD FOR WEBSITE UPDATES FOR MAJOR OVERHAUL		FALSE
9	Discover	This is primarily in the ADMIN side, but I don't see everything that shows up in the Discovery tab listed in the Attractions to edit--say we want to update or change the image that is for Cedar Breaks. If that is coming from our website--cool, but if it is coming from somewhere else how do we control it? Also, if we needed to add info (closed due to rain or something) how would we do that? Include date range capability.		FALSE
10	Discover	ADMIN are the bias strings really specific? If we were just to enter "Festival" would that pull Shakespeare, Neil Simon, Wine Fest--anything that had "Festival" associated with it? Just want to be sure how we can influence the biases.		FALSE
11	Account	I wonder if we altered the name "Subscriptions" to "Interests" if it would be more meaningful to a user?		FALSE
12	Home	Iron County Citizen alert integration to push notifications about emergiencies (location based)		FALSE
13	Discover	All headers - See Extended List Offerings (instead of visitcedarcity homepage, specific site)	What we love => Experiences	FALSE
14	Discover	All categories - seeing duplicate entries		FALSE
15	Account	Add Stargazing to subscription (we'll add some dates as well as meteor showers, etc.)		FALSE
16	Map	Location-based selections for pins		FALSE
17	Map	Location-based zoom out for pin visibility (after selection)		FALSE
18	Map	On occasion, while in the map, it will jump back to the Home screen and more or less freeze the app (this was on Android)		


What we Love 	Action 	Link 																							
																									
Lodging																									
See extended listings 	link to the lodging page on our website 	https://visitcedarcity.com/lodging/																							
																									
																									
Kid Friendly																									
Kolob Reservoir 	link is incorrect 																								
See extended listings 	link to the discovery section of website 	https://visitcedarcity.com/things-to-do/outdoor-activities/discovery/																							
																									
																									
Shops 																									
See extended listings 	link to the Support Local section of our website 	https://visitcedarcity.com/shop-local/																							
																									
Art 																									
Why is Mega Plex included?																									
See extended listings 	link to arts and culture page of website 	https://visitcedarcity.com/things-to-do/city-activities/art-culture/																							
																									
Drinks																									
See extended listings 	link to the food and drink section of our website 	https://visitcedarcity.com/food-drink/																							
																									
Food																									
See extended listings 	link to the food and drink section of our website 	https://visitcedarcity.com/food-drink/																							
																									
Campgrounds 																									
	Title needs to be Campgrounds																								
See extended listings 	link to the lodging section of our website, they can search  by category 	https://visitcedarcity.com/lodging/																							
																									
Drives 																									
See extended listings 	link to this page on our website 	https://visitcedarcity.com/on-the-road-again-scenic-byways/																							
																									
Fishing 																									
	Remove Snow Canyon from this section 																								
See extended listings 	link to Utah Division of Wildlife/fishing 	https://wildlife.utah.gov/fishing/main-fishing-page.html																							
																									
Lookouts 																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
